glyph_id	text	unicode	source_unit	unit_kind
568	陸	U+9678	陸	fullwidth_single
569	我	U+6211	我	fullwidth_single
570	們	U+5011	們	fullwidth_single
571	此	U+6B64	此	fullwidth_single
572	兒	U+5152	兒	fullwidth_single
573	漲	U+6F32	漲	fullwidth_single
574	潮	U+6F6E	潮	fullwidth_single
575	適	U+9069	適	fullwidth_single
576	時	U+6642	時	fullwidth_single
577	候	U+5019	候	fullwidth_single
578	船	U+8239	船	fullwidth_single
579	夫	U+592B	夫	fullwidth_single
580	來	U+4F86	來	fullwidth_single
581	接	U+63A5	接	fullwidth_single
582	。	U+3002	。	fullwidth_single
583	極	U+6975	極	fullwidth_single
584	妳	U+59B3	妳	fullwidth_single
585	..	U+002E U+002E	..	halfwidth_pair
586	嗯	U+55EF	嗯	fullwidth_single
587	坐	U+5750	坐	fullwidth_single
588	久	U+4E45	久	fullwidth_single
589	吹	U+5439	吹	fullwidth_single
590	真	U+771F	真	fullwidth_single
591	舒	U+8212	舒	fullwidth_single
592	瞧	U+77A7	瞧	fullwidth_single
593	竟	U+7ADF	竟	fullwidth_single
594	呆	U+5446	呆	fullwidth_single
595	鳥	U+9CE5	鳥	fullwidth_single
596	掉	U+6389	掉	fullwidth_single
597	肥	U+80A5	肥	fullwidth_single
598	肉	U+8089	肉	fullwidth_single
599	嘛	U+561B	嘛	fullwidth_single
600	俺	U+4FFA	俺	fullwidth_single
601	通	U+901A	通	fullwidth_single
602	報	U+5831	報	fullwidth_single
603	老	U+8001	老	fullwidth_single
604	支	U+652F	支	fullwidth_single
605	援	U+63F4	援	fullwidth_single
606	你	U+4F60	你	fullwidth_single
607	趕	U+8D95	趕	fullwidth_single
608	快	U+5FEB	快	fullwidth_single
609	些	U+4E9B	些	fullwidth_single
610	伙	U+4F19	伙	fullwidth_single
611	擺	U+64FA	擺	fullwidth_single
612	群	U+7FA4	群	fullwidth_single
613	傢	U+50A2	傢	fullwidth_single
614	裡	U+88E1	裡	fullwidth_single
615	叫	U+53EB	叫	fullwidth_single
616	嘿	U+563F	嘿	fullwidth_single
617	像	U+50CF	像	fullwidth_single
618	提	U+63D0	提	fullwidth_single
619	耶	U+8036	耶	fullwidth_single
620	搶	U+6436	搶	fullwidth_single
621	劫	U+52AB	劫	fullwidth_single
622	豈	U+8C48	豈	fullwidth_single
623	止	U+6B62	止	fullwidth_single
624	而	U+800C	而	fullwidth_single
625	批	U+6279	批	fullwidth_single
626	橫	U+6A6B	橫	fullwidth_single
627	沿	U+6CBF	沿	fullwidth_single
628	貨	U+8CA8	貨	fullwidth_single
629	所	U+6240	所	fullwidth_single
630	為	U+70BA	為	fullwidth_single
631	架	U+67B6	架	fullwidth_single
632	奉	U+5949	奉	fullwidth_single
633	陪	U+966A	陪	fullwidth_single
634	門	U+9580	門	fullwidth_single
635	都	U+90FD	都	fullwidth_single
636	筋	U+7B4B	筋	fullwidth_single
637	骨	U+9AA8	骨	fullwidth_single
638	問	U+554F	問	fullwidth_single
639	題	U+984C	題	fullwidth_single
640	癢	U+7662	癢	fullwidth_single
641	難	U+96E3	難	fullwidth_single
642	熬	U+71AC	熬	fullwidth_single
643	受	U+53D7	受	fullwidth_single
644	啦	U+5566	啦	fullwidth_single
645	喂	U+5582	喂	fullwidth_single
646	乖	U+4E56	乖	fullwidth_single
647	財	U+8CA1	財	fullwidth_single
648	和	U+548C	和	fullwidth_single
649	漂	U+6F02	漂	fullwidth_single
650	亮	U+4EAE	亮	fullwidth_single
651	妞	U+599E	妞	fullwidth_single
652	面	U+9762	面	fullwidth_single
